N,Titulo/coleccion,Autor,Licencia,Fuente_URL
1,EC X Pujilí 1506 (222),Diego Tirira,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18767746825
2,EC X Pujilí 1506 (211),Diego Tirira,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18579950218
3,EC X Pujilí 1506 (213),Diego Tirira,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18770240911
4,Diablo Huma,Pep Hernández,CC BY-NC-SA 2.0,https://www.flickr.com/photo.gne?id=35950893820
5,Diablohuma.jpg,JardelPeñafiel,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Diablohuma.jpg
6,Aya-Uma Luis.jpg,TupakAmaruIshkay,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Aya-Uma_Luis.jpg
7,Aya Uma's back.jpg,Jorge Auz Salazar,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Aya_Uma%27s_back.jpg
8,Aya Uma from the front.jpg,Jorge Auz Salazar,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Aya_Uma_from_the_front.jpg
9,Celebración del Inti Raymi en Cancillería,Cancillería del Ecuador,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Celebraci%C3%B3n_del_Inti_Raymi_en_Canciller%C3%ADa_(14480216963).jpg
10,"Characters of Aya Uma dancing in the Inti Raymi festival, Quito",TupakAmaruIshkay,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Characters_of_%22Aya_Uma%22_dancing_in_the_%22Inti_Raymi%22_festival_in_the_streets_of_Quito,_Ecuador.jpg"
11,Celebración del Inti Raymi en Cancillería,Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=14273616017
12,I Otavalo 0712 (12),Diego Tirira,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:I_Otavalo_0712_(12)_(17293561532).jpg
13,"Entrega del Aya Huma (Peguche, 2018)",Asamblea Nacional del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=42911584802
14,Fiesta de San Pedro de Tabacundo,Viceministerio de Cultura y Patrimonio,CC0 (dominio público),https://www.flickr.com/photo.gne?id=27766592256
15,EC X Pujilí 1506 (215),Diego Tirira,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18767752585
16,EC X Pujilí 1506 (214),Diego Tirira,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18579948108
17,"A group of the mythical character Aya Uma, Quito",Jorge Auz Salazar,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:A_group_of_the_mythical_character_called_Aya_Uma_walking_through_the_streets_of_Quito.jpg
18,"The character of Aya Uma leads a troupe of dancers, La Esperanza",TupakAmaruIshkay,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:The_character_of_Aya_Uma_leads_a_troupe_of_dancers_in_La_Esperanza,_Imbabura,_Ecuador.jpg"
19,Celebración del Inti Raymi en Cancillería,Cancillería del Ecuador,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Celebraci%C3%B3n_del_Inti_Raymi_en_Canciller%C3%ADa_(14456715171).jpg
20,Inti Raymi 2016 (Asamblea Nacional),Asamblea Nacional del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=27820767525
21,Inti Raymi 2016 (Asamblea Nacional),Asamblea Nacional del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=27542576600
22,Inti Raymi 2016 (Asamblea Nacional),Asamblea Nacional del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=27209174223
23,Inti Raymi 2016 (Asamblea Nacional),Asamblea Nacional del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=27820765985
24,Al Trabajo en Bici 124 (Inti Raymi),Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18925679995
25,Celebración del Inti Raymi en Cancillería,Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=14458949684
26,La Cancillería celebró el Inti Raymi,Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=35464227711
27,Al Trabajo en Bici 124 (Inti Raymi),Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18928566261
28,Al Trabajo en Bici 124 (Inti Raymi),Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18739499179
29,Al Trabajo en Bici 124 (Inti Raymi),Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18920404992
30,Inti Raymi de las universidades 2025,Universidad Técnica Particular de Loja,CC BY-NC-SA 4.0,https://www.flickr.com/photo.gne?id=54609593724
31,Al Trabajo en Bici 124 (Inti Raymi),Cancillería del Ecuador,CC BY-SA 2.0,https://www.flickr.com/photo.gne?id=18925680825
32,Inti Raymi de las universidades 2025,Universidad Técnica Particular de Loja,CC BY-NC-SA 4.0,https://www.flickr.com/photo.gne?id=54609604093
33,Inti Raymi de las universidades 2025,Universidad Técnica Particular de Loja,CC BY-NC-SA 4.0,https://www.flickr.com/photo.gne?id=54609604628
